datetimeobject,variable,value
2020-06-01,9d,1179.0
2020-06-02,9d,1179.0
2020-06-03,9d,1179.0
2020-06-04,9d,1179.0
2020-06-05,9d,991.0
2020-06-06,9d,959.0
2020-06-07,9d,929.0
2020-06-08,9d,888.0
2020-06-09,9d,898.0
2020-06-10,9d,898.0
2020-06-11,9d,898.0
2020-06-12,9d,888.0
2020-06-13,9d,885.0
2020-06-14,9d,885.0
2020-06-15,9d,885.0
2020-06-16,9d,885.0
2020-06-17,9d,885.0
2020-06-18,9d,772.0
2020-06-19,9d,767.0
2020-06-20,9d,729.0
2020-06-21,9d,704.0
2020-06-22,9d,704.0
2020-06-23,9d,708.0
2020-06-24,9d,724.0
2020-06-25,9d,724.0
2020-06-26,9d,708.0
2020-06-27,9d,708.0
2020-06-28,9d,708.0
2020-06-29,9d,708.0
2020-06-30,9d,708.0
2020-07-01,9d,708.0
2020-07-02,9d,701.0
2020-07-03,9d,697.0
2020-07-04,9d,636.0
2020-07-05,9d,597.0
2020-07-06,9d,597.0
2020-07-07,9d,697.0
2020-07-08,9d,701.0
2020-07-09,9d,867.0
2020-07-10,9d,867.0
2020-07-11,9d,867.0
2020-07-12,9d,867.0
2020-07-13,9d,867.0
2020-07-14,9d,867.0
2020-07-15,9d,867.0
2020-07-16,9d,867.0
2020-07-17,9d,867.0
2020-07-18,9d,872.0
2020-07-19,9d,872.0
2020-07-20,9d,872.0
2020-07-21,9d,951.0
2020-07-22,9d,974.0
2020-07-23,9d,1038.0
2020-07-24,9d,1039.0
2020-07-25,9d,1039.0
2020-07-26,9d,1039.0
2020-07-27,9d,1059.0
2020-01-22,10d,
2020-01-23,10d,
2020-01-24,10d,
2020-01-25,10d,
2020-01-26,10d,
2020-01-27,10d,
2020-01-28,10d,
2020-01-29,10d,
2020-01-30,10d,
2020-01-31,10d,0.0
2020-02-01,10d,0.0
2020-02-02,10d,0.0
2020-02-03,10d,0.0
2020-02-04,10d,0.0
2020-02-05,10d,0.0
2020-02-06,10d,0.0
2020-02-07,10d,0.0
2020-02-08,10d,0.0
2020-02-09,10d,0.0
2020-02-10,10d,0.0
2020-02-11,10d,0.0
2020-02-12,10d,0.0
2020-02-13,10d,0.0
2020-02-14,10d,0.0
2020-02-15,10d,0.0
2020-02-16,10d,0.0
2020-02-17,10d,0.0
2020-02-18,10d,0.0
