datetimeobject,epochmilli,STUSPS,positiveRate,deathRate
2020-01-29,1580256000000,NC,0.0,0.0
2020-01-29,1580256000000,ND,0.0,0.0
2020-01-29,1580256000000,OH,0.0,0.0
2020-01-29,1580256000000,OK,0.0,0.0
2020-01-29,1580256000000,OR,0.0,0.0
2020-01-29,1580256000000,PA,0.0,0.0
2020-01-29,1580256000000,RI,0.0,0.0
2020-01-29,1580256000000,SC,0.0,0.0
2020-01-29,1580256000000,SD,0.0,0.0
2020-01-29,1580256000000,TN,0.0,0.0
2020-01-29,1580256000000,TX,0.0,0.0
2020-01-29,1580256000000,UT,0.0,0.0
2020-01-29,1580256000000,VT,0.0,0.0
2020-01-29,1580256000000,VA,0.0,0.0
2020-01-29,1580256000000,WA,0.0,0.0
2020-01-29,1580256000000,WV,0.0,0.0
2020-01-29,1580256000000,WI,0.0,0.0
2020-01-29,1580256000000,WY,0.0,0.0
2020-01-29,1580256000000,PR,0.0,0.0
2020-01-30,1580342400000,AL,0.0,0.0
2020-01-30,1580342400000,AK,0.0,0.0
2020-01-30,1580342400000,AZ,0.013738684990775159,0.0
2020-01-30,1580342400000,AR,0.0,0.0
2020-01-30,1580342400000,CA,0.005061724823733659,0.0
2020-01-30,1580342400000,CO,0.0,0.0
2020-01-30,1580342400000,CT,0.0,0.0
2020-01-30,1580342400000,DE,0.0,0.0
2020-01-30,1580342400000,DC,0.0,0.0
2020-01-30,1580342400000,FL,0.0,0.0
2020-01-30,1580342400000,GA,0.0,0.0
2020-01-30,1580342400000,HI,0.0,0.0
2020-01-30,1580342400000,ID,0.0,0.0
2020-01-30,1580342400000,IL,0.007891525614195465,0.0
2020-01-30,1580342400000,IN,0.0,0.0
2020-01-30,1580342400000,IA,0.0,0.0
2020-01-30,1580342400000,KS,0.0,0.0
2020-01-30,1580342400000,KY,0.0,0.0
2020-01-30,1580342400000,LA,0.0,0.0
2020-01-30,1580342400000,ME,0.0,0.0
2020-01-30,1580342400000,MD,0.0,0.0
2020-01-30,1580342400000,MA,0.0,0.0
2020-01-30,1580342400000,MI,0.0,0.0
2020-01-30,1580342400000,MN,0.0,0.0
2020-01-30,1580342400000,MS,0.0,0.0
2020-01-30,1580342400000,MO,0.0,0.0
2020-01-30,1580342400000,MT,0.0,0.0
2020-01-30,1580342400000,NE,0.0,0.0
2020-01-30,1580342400000,NV,0.0,0.0
2020-01-30,1580342400000,NH,0.0,0.0
2020-01-30,1580342400000,NJ,0.0,0.0
2020-01-30,1580342400000,NM,0.0,0.0
2020-01-30,1580342400000,NY,0.0,0.0
2020-01-30,1580342400000,NC,0.0,0.0
2020-01-30,1580342400000,ND,0.0,0.0
2020-01-30,1580342400000,OH,0.0,0.0
2020-01-30,1580342400000,OK,0.0,0.0
2020-01-30,1580342400000,OR,0.0,0.0
2020-01-30,1580342400000,PA,0.0,0.0
2020-01-30,1580342400000,RI,0.0,0.0
2020-01-30,1580342400000,SC,0.0,0.0
2020-01-30,1580342400000,SD,0.0,0.0
2020-01-30,1580342400000,TN,0.0,0.0
2020-01-30,1580342400000,TX,0.0,0.0
2020-01-30,1580342400000,UT,0.0,0.0
2020-01-30,1580342400000,VT,0.0,0.0
2020-01-30,1580342400000,VA,0.0,0.0
2020-01-30,1580342400000,WA,0.0,0.0
2020-01-30,1580342400000,WV,0.0,0.0
2020-01-30,1580342400000,WI,0.0,0.0
2020-01-30,1580342400000,WY,0.0,0.0
