datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-09-25,1600992000000,DC,11001,57.0,15163.0,2.0,623.0,2148.4975536628463,88.2750099539638,8.076525790330557,0.28338686983615985,247
2020-09-26,1601078400000,DC,11001,52.0,15215.0,1.0,624.0,2155.8656122785865,88.41670338888188,7.368058615740157,0.14169343491807992,248
2020-09-27,1601164800000,DC,11001,35.0,15250.0,0.0,624.0,2160.824882500719,88.41670338888188,4.959270222132798,0.0,249
2020-09-28,1601251200000,DC,11001,14.0,15264.0,0.0,624.0,2162.8085905895723,88.41670338888188,1.9837080888531191,0.0,250
2020-09-29,1601337600000,DC,11001,36.0,15300.0,2.0,626.0,2167.909554246623,88.70009025871805,5.100963657050878,0.28338686983615985,251
2020-09-30,1601424000000,DC,11001,26.0,15326.0,1.0,627.0,2171.593583554493,88.84178369363612,3.6840293078700785,0.14169343491807992,252
2020-10-01,1601510400000,DC,11001,32.0,15358.0,1.0,628.0,2176.127773471872,88.9834771285542,4.534189917378558,0.14169343491807992,253
2020-10-02,1601596800000,DC,11001,65.0,15423.0,1.0,629.0,2185.337846741547,89.12517056347228,9.210073269675195,0.14169343491807992,254
2020-10-03,1601683200000,DC,11001,50.0,15473.0,0.0,629.0,2192.422518487451,89.12517056347228,7.0846717459039965,0.0,255
2020-10-04,1601769600000,DC,11001,46.0,15519.0,2.0,631.0,2198.9404164936827,89.40855743330845,6.517898006231677,0.28338686983615985,256
2020-10-05,1601856000000,DC,11001,28.0,15547.0,0.0,631.0,2202.907832671389,89.40855743330845,3.9674161777062382,0.0,257
2020-10-06,1601942400000,DC,11001,105.0,15652.0,0.0,631.0,2217.785643337787,89.40855743330845,14.877810666398394,0.0,258
2020-10-07,1602028800000,DC,11001,0.0,15652.0,0.0,631.0,2217.785643337787,89.40855743330845,0.0,0.0,259
