STUSPS,COUNTYGEOID,Population,riskType,risk
CO,08119,23350,Total Kidney (hazard quotient),0.000173777283984
CO,08121,4814,Total Kidney (hazard quotient),0.000278458801985
CO,08123,252815,Total Kidney (hazard quotient),0.00462911139065
CO,08125,10043,Total Kidney (hazard quotient),0.000288194911001
CT,09001,916826,Total Kidney (hazard quotient),0.017156490026805
CT,09003,894014,Total Kidney (hazard quotient),0.020310218077535
CT,09005,189927,Total Kidney (hazard quotient),0.008067523161212
CT,09007,165676,Total Kidney (hazard quotient),0.013820365350261
CT,09009,862477,Total Kidney (hazard quotient),0.017803053049548
CT,09011,274055,Total Kidney (hazard quotient),0.008422870965422
CT,09013,152691,Total Kidney (hazard quotient),0.009243978728632
CT,09015,118428,Total Kidney (hazard quotient),0.00670018821497
DE,10001,162310,Total Kidney (hazard quotient),0.013878725895246
DE,10003,538461,Total Kidney (hazard quotient),0.013271172278249
DE,10005,197145,Total Kidney (hazard quotient),0.006314039524668
DC,11001,601723,Total Kidney (hazard quotient),0.014260123099006
FL,12001,247336,Total Kidney (hazard quotient),0.001610893967908
FL,12003,27115,Total Kidney (hazard quotient),0.001117709471932
FL,12005,168852,Total Kidney (hazard quotient),0.00270694457731
FL,12007,28520,Total Kidney (hazard quotient),0.001165311327746
FL,12009,543376,Total Kidney (hazard quotient),0.001787350459452
FL,12011,1748065,Total Kidney (hazard quotient),0.002612858095141
FL,12013,14625,Total Kidney (hazard quotient),0.001235023368129
FL,12015,159978,Total Kidney (hazard quotient),0.000852267597587
FL,12017,141236,Total Kidney (hazard quotient),0.001207750498329
FL,12019,190865,Total Kidney (hazard quotient),0.001720460078187
FL,12021,321520,Total Kidney (hazard quotient),0.000879368388
FL,12023,67531,Total Kidney (hazard quotient),0.001245540864591
FL,12027,34862,Total Kidney (hazard quotient),0.000633899418344
FL,12029,16422,Total Kidney (hazard quotient),0.00087730658297
FL,12031,864262,Total Kidney (hazard quotient),0.002930708207937
FL,12033,297619,Total Kidney (hazard quotient),0.002521218948287
FL,12035,95696,Total Kidney (hazard quotient),0.001029292281228
FL,12037,11549,Total Kidney (hazard quotient),0.000828640529575
FL,12039,46389,Total Kidney (hazard quotient),0.001375301997938
FL,12041,16939,Total Kidney (hazard quotient),0.000990811371508
FL,12043,12884,Total Kidney (hazard quotient),0.00051658756017
FL,12045,15863,Total Kidney (hazard quotient),0.001458180776734
FL,12047,14799,Total Kidney (hazard quotient),0.001407806796287
FL,12049,27731,Total Kidney (hazard quotient),0.000751791486758
FL,12051,39140,Total Kidney (hazard quotient),0.000602103242746
FL,12053,172778,Total Kidney (hazard quotient),0.001110365728131
FL,12055,98786,Total Kidney (hazard quotient),0.00077095284267
FL,12057,1226699,Total Kidney (hazard quotient),0.002328519759083
FL,12059,19927,Total Kidney (hazard quotient),0.001637095267519
FL,12061,138028,Total Kidney (hazard quotient),0.000837994263211
FL,12063,49746,Total Kidney (hazard quotient),0.00162482881765
FL,12065,14761,Total Kidney (hazard quotient),0.001273207738442
FL,12067,8870,Total Kidney (hazard quotient),0.001118361791792
FL,12069,297050,Total Kidney (hazard quotient),0.001346657106279
FL,12071,618754,Total Kidney (hazard quotient),0.00104640261092
FL,12073,275487,Total Kidney (hazard quotient),0.001963615871869
FL,12075,40801,Total Kidney (hazard quotient),0.001039484081441
FL,12077,8365,Total Kidney (hazard quotient),0.001129462279049
FL,12079,19224,Total Kidney (hazard quotient),0.001418628475076
FL,12081,322833,Total Kidney (hazard quotient),0.002629746976673
FL,12083,331298,Total Kidney (hazard quotient),0.001538230824825
FL,12085,146318,Total Kidney (hazard quotient),0.00110636061043
FL,12086,2496435,Total Kidney (hazard quotient),0.003459960671708
FL,12087,73090,Total Kidney (hazard quotient),0.000334174708289
FL,12089,73314,Total Kidney (hazard quotient),0.001709949598247
FL,12091,180822,Total Kidney (hazard quotient),0.001810784226595
FL,12093,39996,Total Kidney (hazard quotient),0.000657702325072
FL,12095,1145956,Total Kidney (hazard quotient),0.002819073921406
FL,12097,268685,Total Kidney (hazard quotient),0.001630655069824
FL,12099,1320134,Total Kidney (hazard quotient),0.001718875963435
FL,12101,464697,Total Kidney (hazard quotient),0.001301319427911
FL,12103,916541,Total Kidney (hazard quotient),0.002838549001675
FL,12105,602095,Total Kidney (hazard quotient),0.001535414475892
FL,12107,74364,Total Kidney (hazard quotient),0.001185780789917
